Name Of School/Team,Harmonized Name
Abilene Christian University,Abilene Christian
Adrian College,Adrian College
Air Force,Air Force
Akron,Akron
Akron Groomsmen,Akron
University of Akron,Akron
Alabama,Alabama
Alabama ,Alabama
Alabama Crimson Tide,Alabama
"ALABAMA, UNIVERSITY OF ALABAMA (CRIMSON TIDE)",Alabama
Auburn University (Coach Caddy Version),Alabama
Bama,Alabama
Extra Points,Protect Trans Kids University
RMFT,Alabama
The University of Alabama,Alabama
University of Alabama,Alabama
University of Alabama ,Alabama
Alaska,University of Alaska Anchorage
Alaska (Fairbanks),University of Alaska Fairbanks
Alaska-Anchorage,University of Alaska Anchorage
Alaska Fairbanks,University of Alaska Fairbanks
University of Alaska,University of Alaska Anchorage
University of Alaska Anchorage,University of Alaska Anchorage
University of Alaska Anchorage ,University of Alaska Anchorage
University of Alaska Fairbanks,University of Alaska Fairbanks
University of Alaska Southeast,University of Alaska Southeast
University of Anchorage Alaska,University of Alaska Anchorage
Alaska Pacific University,Alaska Pacific
Alaska Pacific,Alaska Pacific
ALBION COLLEGE,Albion College
Albion College ,Albion College
Allegheny,Allegheny College
Alma College,Alma College
American University,American University
American University,American University
American University,American University
Amherst College,Amherst College
Amherst College ,Amherst College
Anderson University,Anderson University (IN)
Anderson University (Trojans),Anderson University (SC)
Anna Maria College,Anna Maria College
App State,Appalachian State
Appalachian State,Appalachian State
Appalachian State University,Appalachian State
Appalachian State University ,Appalachian State
Arizona,Arizona
Arizona Wildcats,Arizona
"ARIZONA, UNIVERSITY OF ARIZONA  (WILDCATS)",Arizona
"ARIZONA, UNIVERSITY OF ARIZONA (WILDCATS)",Arizona
University of Arizona,Arizona
Arizona state,Arizona State
Arizona State ,Arizona State
Arizona State Sun Devils,Arizona State
Arizona State University,Arizona State
Arizona State University ,Arizona State
Bob Dylan's Catalog,Protect Trans Kids University
Justin Wilson Culinary Institute of Technology & Bait Shoppe,Protect Trans Kids University
Nobody,Protect Trans Kids University
South Harmon Institute of Technology,Protect Trans Kids University
Team Chaos,Protect Trans Kids University
Tufts University (but let's just say Arizona St),Arizona State
Universidad de Hijo del Vikingo,Protect Trans Kids University
Arkansas,Arkansas
Arkansas,Arkansas
Arkansas ,Arkansas
Arkansas Razorbacks,Arkansas
Arkansas Razorsads,Arkansas
"Arkansas, lulz",Arkansas
"ARKANSAS, UNIVERSITY OF ARKANSAS",Arkansas
University of Arkansas,Arkansas
Arkansas State,Arkansas State
Arkansas State University,Arkansas State
Arkansas Tech,Arkansas Tech
Arkansas Tech University (The Wonder Boys),Arkansas Tech
Army,Army
Army (West Point),Army
Army West Point,Army
US Army Air Corps,Army
Ashland University,Ashland University
Auburn,Auburn
auburn ,Auburn
Auburn Jesus,Auburn
Auburn Tigers,Auburn
Auburn University,Auburn
Auburn University ,Auburn
AUBURN UNIVERSITY (TIGERS),Auburn
Kings College (PA),King's College (PA)
Augsburg,Augsburg University
Augsburg University MN,Augsburg University
Augsburg University MN,Augsburg University
Augustana College (IL),Augustana College
Augustana University,Augustana University
Austin Peay,Austin Peay
Baldwin Wallace University,Baldwin Wallace University
Ball State,Ball State
BALL STATE UNIVERSITY,Ball State
Barber Scotia College,Barber Scotia College
Bard College,Bard College
Barnard College,Barnard College
Baruch College,Baruch College
BATES COLLEGE,Bates College
Baylor,Baylor
Baylor ,Baylor
Baylor University,Baylor
BAYLOR UNIVERSITY (BEARS),Baylor
Bellarmine University,Bellarmine University
Belmont University,Belmont University
Benedictine College,Benedictine College
Berry College,Berry College
Bethel University (VT),Bethel University (VT)
HBCUs,Protect Trans Kids University
Binghamton University,Binghamton University
Birmingham-Southern College,Birmingham-Southern College
Birmingham-Southern College Panthers,Birmingham-Southern College
Bishop's University,Bishop's University
Bishop's University,Bishop's University
Black Hills State University,Black Hills State
Black Hills State,Black Hills State
Boise State,Boise State
Boston College,Boston College
Boston University,Boston University
Bowdoin College,Bowdoin College
Bowling Green,Bowling Green
Bowling Green State University,Bowling Green
Bradley,Bradley University
Bradley University,Bradley University
Bradley University,Bradley University
Bradley University (Peoria Illinois),Bradley University
Brandeis,Brandeis
Brandeis University,Brandeis
Bridgewater College,Bridgewater College
Brown,Brown
BROWN,Brown
Brown University,Brown
Bryant University,Bryant University
Bryant University,Bryant University
Bryn Mawr,Bryn Mawr
Bucknell,Bucknell
Bucknell Bison,Bucknell
Bucknell University,Bucknell
Buena Vista University,Buena Vista University
Buffalo,Buffalo
Buffalo ,Buffalo
Buffalo (University at Buffalo),Buffalo
"Buffalo (University at Buffalo/SUNY Buffalo, depending on who you ask)",Buffalo
SUNY BUFFALO,Buffalo
University at Buffalo,Buffalo
