04-21-2025 13:11 EDT,
Southern Methodist (SMU),5.13
Michigan,13.1
Cornell,191.45
Missouri State,10.26
Michigan,166.3
Maryland,20.53
Georgia,217.84
Protect Trans Kids University,102.65
Miami (FL),153.98
Georgia Tech,102.65
Emory,1026.56
Soviet Cat University,102.65
Michigan,51.32
North Carolina (UNC),91.68
Ohio,25.66
Utah,140.81
Michigan,102.65
Child Labor at the Harvard - Yale game,1026.58
Syracuse,44.44
Notre Dame,513.29
Protect Trans Kids University,432
Rutgers,28.25
Protect Trans Kids University,229.4
Protect Trans Kids University,102.65
Toledo,21.75
Georgia Tech,86.94
Michigan,1344.83
Protect Trans Kids University,20.53
Pittsburgh (Pitt),130.9
South Carolina,20.83
Protect Trans Kids University,11.51
Hawai'i,1026.58
Protect Trans Kids University,310.13
Michigan,134.31
Iowa,102.65
Protect Trans Kids University,123.12
Penn State,20.53
Miami (FL),36.14
Carleton College,25.66
Cornell,20.11
Alabama,51.32
Auburn,256.64
Oklahoma,113
Michigan,102.65
Charlotte,513.29
Michigan,13.1
Texas A&M,39.24
Maryland,32.23
Marquette,50
Michigan,134.31
Georgia Tech,248.53
Virginia Tech,102.65
DePauw,145.99
Protect Trans Kids University,20.19
Protect Trans Kids University,307.92
Marquette,102.65
Protect Trans Kids University,84.63
Michigan,13.44
Michigan,160
Maryland,29.28
Michigan,410.63
Pittsburgh (Pitt),240.22
Kennesaw State,2724
Oregon,50.51
Michigan,134.48
Ohio State,410.63
Protect Trans Kids University,33.19
Georgia,456.01
Georgia,45.6
Virginia Tech,102.65
Florida,32.29
Northwestern,69.44
Alabama,43.25
Michigan,135.61
Fordham,176.96
Missouri (Mizzou),215.75
Protect Trans Kids University,134.48
North Carolina State,51.32
Michigan,13.1
Protect Trans Kids University,102.65
Missouri State,10.26
Nebraska,57.99
Protect Trans Kids University,10.26
Michigan,13.44
Purdue,111
Kennesaw State,27.96
Protect Trans Kids University,42.23
Penn State,66.93
Augsburg University,53.7
Georgia State,65.7
Montana State,1026.58
Florida,67.37
Ohio State,85.2
Pittsburgh (Pitt),13.9
Notre Dame,25.66
Michigan,134.31
Pittsburgh (Pitt),157.08
Michigan,131
Appalachian State,35.23
Arkansas,102.65
Georgia,256.64
Skidmore,50
Protect Trans Kids University,13.1
Oglethorpe University,256.64
Eastern Kentucky,25.66
North Carolina (UNC),97.33
Washington,70.21
Michigan,20.14
Pittsburgh (Pitt),78.64
Michigan,13.44
Protect Trans Kids University,51.32
Protect Trans Kids University,256.64
Pittsburgh (Pitt),256.64
Villanova,39.29
William & Mary,6840.16
Texas,307.97
North Florida,55.43
Georgia,261.24
Florida,21.55
Michigan,130.84
Michigan,134.48
Cal (Berkeley),100.6
Purdue,1036.44
North Carolina State,102.65
Eastern Michigan,61.59
Protect Trans Kids University,56.46
Protect Trans Kids University,51.32
Protect Trans Kids University,102.65
Nebraska,205.31
Boston University,102.65
Kentucky,513.29
Pittsburgh (Pitt),100
Kenyon College,525.61
Florida,67.37
Tulane,47.68
Michigan Tech,360.76
Stanford,25.66
Rosemont College,19.72
Protect Trans Kids University,34.93
Nebraska,20.68
Protect Trans Kids University,530.08
Protect Trans Kids University,102.65
Iowa State,43.53
Michigan,250
Ohio State,149.62
North Carolina State,36.23
Michigan,201.41
Protect Trans Kids University,45.16
Mississippi (Ole Miss),2053.17
Notre Dame,23.71
Vanderbilt,41.42
Illinois,86.92
Georgia,141.66
Michigan,102.65
Tulane,124.86
Notre Dame,103.53
Notre Dame,207.88
North Carolina (UNC),25.66
Michigan,133.55
Protect Trans Kids University,51.32
Georgetown,467.91
Georgia,98.25
Hanover College,19.36
Protect Trans Kids University,41.06
Florida,53.69
Missouri (Mizzou),256.64
Ohio State,35.14
North Carolina (UNC),83.94
Protect Trans Kids University,102.65
Ohio State,102.65
Alabama,369.57
USC (University Of Southern California),615.95
Stanford,205.31
Michigan,1310.62
Protect Trans Kids University,102.65
Iowa State,38.14
Iowa,13.44
Mississippi (Ole Miss),291.65
Michigan,1310
Hawai'i,60.85
Protect Trans Kids University,102.65
Michigan,88.54
UW Eau Claire,102.65
Stanford,1135.4
Miami (OH),28.86
Iowa,13.44
Cal (Berkeley),318.24
Colorado,20.53
Georgia Southern,23.64
Cal (Berkeley),82.12
Duke,23.77
Louisiana State (LSU),2.05
Virginia (UVA),500
South Carolina,17.59
Penn State,51.32
BYU,22.21
Protect Trans Kids University,102.65
Protect Trans Kids University,20.53
Tufts,41.42
Protect Trans Kids University,27.17
Protect Trans Kids University,13.44
Tennessee,41.06
Michigan,20.14
Michigan,13.44
Protect Trans Kids University,102.65
Alabama,130.62
University of Nebraska-Omaha,88.02
Michigan,134.31
Kentucky,17.32
Clemson,31.82
Connecticut College,102.65
Protect Trans Kids University,37.88
Florida,67.37
Michigan,21.24
Pittsburgh (Pitt),65.09
Colorado State,24.74
Louisiana State (LSU),30.03
Alabama,369.57
Bridgewater College,153.98
Oklahoma,249.46
Ohio State,148.85
Protect Trans Kids University,256.64
Michigan,102.65
Oklahoma,27.93
Ohio State,107.38
Oklahoma,299.32
